# time,x [Mpns* Rpns**-2]
0.25,1.1774966274141345e-05
0.251,1.2996003509166372e-05
0.252,1.4299932401314077e-05
0.253,1.5668798628347844e-05
0.254,1.7134668622856218e-05
0.255,1.8730597702828388e-05
0.256,2.0637924898942724e-05
0.257,2.256218609678957e-05
0.258,2.4976305935143534e-05
0.259,2.8247424750697877e-05
0.26,3.1497991671085994e-05
0.261,3.9438386017691564e-05
0.262,7.583222208253171e-05
0.263,0.00016717849589861617
0.264,0.00038035443055091004
0.265,0.00022054365911037657
0.266,0.00020451499854077834
0.267,0.00016459497317712748
0.268,0.0001424281296599803
0.269,0.00013983505768428516
0.27,0.0001442525436204495
0.271,0.00014107504991764895
0.272,0.00013726069695730082
0.273,0.00013295626899955044
0.274,0.0001231046931009231
0.275,0.00012441133405629006
0.276,0.00012570457976750685
0.277,0.00012159469006757376
0.278,0.00012247392956133777
0.279,0.00011795624840321936
0.28,0.00011867825570683612
0.281,0.00011929696075726329
0.282,0.00012526669997513413
0.283,0.00012080343104876577
0.284,0.00012152762352421566
0.285,0.00012212751258620328
0.286,0.00012267749488763772
0.287,0.00012318241939627536
0.288,0.0001236362606837454
0.289,0.00012969749315405542
0.29,0.00012478049692923887
0.291,0.00013082656155595938
0.292,0.0001313429543030408
0.293,0.000131869326756256
0.294,0.000132319501726038
0.295,0.00013276356517071233
0.296,0.00013325951660257432
0.297,0.00013374750862133245
0.298,0.0001342234267878862
0.299,0.00013471056944405253
0.3,0.000135194627995963
0.301,0.0001356369496417895
0.302,0.0001361075084900878
0.303,0.00013654806164761383
0.304,0.00013699355849511853
0.305,0.0001435468805363259
0.306,0.0001440329961558179
0.307,0.00014447801114665767
0.308,0.00014496329518535293
0.309,0.00014540713450125284
0.31,0.0001458434422942846
0.311,0.00014629502670426722
0.312,0.00014670261076269554
0.313,0.00014712993102964153
0.314,0.00015417497519067423
0.315,0.00015462297361304979
0.316,0.0001550783653947533
0.317,0.00015549250866817425
0.318,0.00015587481219175013
0.319,0.000156243922358719
0.32,0.00015666007220886647
0.321,0.0001570899375428358
0.322,0.00015752444316002255
0.323,0.0001578931395978357
0.324,0.00015825378313319357
0.325,0.00016582877996284894
